Re,D,U,r,theta,V_norm
1984.98,4.35,1.41,21.12,3.4407,0.9566
2992.66,2.45,2.57,3.7,0.908,1.0069
2509,4.44,2.25,11.19,0.8416,1.0251
4939.54,2.63,1.65,15.88,5.93,0.9056
725.38,2.31,0.64,16.74,5.053,1.0243
3490.97,2.82,1.57,14.22,1.1351,1.02
2051.38,4.05,1.67,31.23,2.5545,1.0181
2169.59,1.5,2.82,8.93,2.2344,0.9968
3602.11,1.79,2.1,3.8,4.97,1.2039
3477.56,4.81,1.28,15.05,3.2058,0.9063
4956.72,1.7,1.81,14.7,0.8033,0.9983
685.55,3.27,0.67,25.06,4.6432,1.0139
565.34,3.32,2.93,30.21,2.4937,0.999
3635.48,2.96,1.4,7.39,1.652,1.12
2913.02,3.58,1.69,35.49,2.3593,0.9648
1407.1,1.92,1.39,6.3,3.1275,0.9246
443.13,3.21,2.21,5.14,2.1559,1.1135
474.01,2.49,2.16,24.83,1.5199,1.0103
4476.24,3.65,2.29,14.18,2.5039,1.0573
999.74,1.56,1.17,11.23,0.1205,0.9785
1650.69,3.28,1.29,9.86,4.8537,1.1288
1171.95,1.74,0.81,11.2,1.0741,1.0155
1807.23,2.11,2.14,19.42,0.2759,0.9714
393.65,1.87,0.6,7.91,4.1073,1.0284
2619.35,1.73,1.99,12.46,4.8628,1.0444
384.68,4.3,2.67,13.33,5.1134,1.0746
4011.76,2.14,2.73,14.59,3.1008,1.0077
1206.87,4.71,1.62,20.53,1.2904,1.0401
2723.06,4.88,1.65,16.08,4.6321,1.1136
4406.39,3.29,0.69,13.67,4.3964,0.9418
3271.84,1.57,2.18,4.75,1.5474,1.0762
2688.14,2.5,2.55,22.9,5.6763,1.0222
1655.45,4.19,1.11,20.44,0.6558,0.9859
1698.36,2.47,1.55,8.85,6.1744,0.9277
3363.96,1.35,2.6,7.16,5.4051,0.9618
4970.99,3.23,2.69,13.63,4.3222,1.1324
3326.1,4.38,1.11,34.29,5.8983,1.0279
2811.03,4.18,1.88,40.81,4.5384,1.0042
3666.72,1.7,0.98,8.88,1.1967,1.0123
2352.77,3.69,0.75,32.55,2.7781,1.0147
347.7,1.88,2.78,11.88,0.4493,0.9914
2833.37,1.87,2.55,5.31,2.4483,1.0063
4790.25,4.5,2.4,33.14,4.6596,1.1223
917.75,2,0.62,11.72,2.4281,0.9878
3465.52,2.05,2.61,14.43,2.0753,0.9825
1044.62,1,1.6,9.09,3.7407,0.9832
2702.35,4.48,1.36,23.51,5.4802,1.0139
528.55,4.17,1.87,38.2,0.299,0.9911
2279.34,3.51,0.73,27.66,2.422,0.9946
3793.01,4,2.39,22.62,0.9943,1.0438
1770.48,1.61,1.96,10.66,4.369,1.0395
3341.31,2.83,0.97,12.09,0.6643,0.9373
3987.48,2.4,0.97,23.71,4.1771,0.9812
4639.53,1.38,0.96,9.86,1.7981,1.0556
1211.48,2.94,0.64,5.51,1.2498,1.1575
2026.61,4.68,1.97,20.03,5.8833,0.9465
804.46,1.16,2.6,7.89,0.1164,0.9872
4962.79,2.17,0.54,4.29,2.7506,0.774
4638.65,1.83,0.62,3.12,0.1359,0.5856
2722.79,1.95,1.93,10.4,3.0385,0.9745
4218.06,4.63,2.55,20.05,3.1482,0.9224
2628.74,2.87,1.32,15.01,2.0211,1.0437
3136.75,2.87,1.37,10.7,0.8304,0.9911
491.17,4.04,1.99,11.72,2.3649,0.9472
3788.59,1.62,1.19,11.9,4.224,1.0057
682.18,2.95,0.57,17.32,4.9159,1.0313
4139.03,2.72,2.34,8.71,3.3348,0.9412
3921.04,3.39,2.06,14.28,3.706,0.9527
3558.29,5,1.95,32.64,1.2605,0.9461
228.99,4.08,2.35,8.62,1.8053,1.065
1550.49,2.59,2.19,7.14,1.0172,1.0375
1352.41,4.31,1.01,9.15,1.5664,1.1819
1832.68,1.68,1.38,14.14,1.413,1.0093
483.83,1.12,0.82,8.86,3.2638,0.9824
4687.94,1.82,0.82,14.37,3.5355,1.0829
2791.32,2.36,2.19,17.92,5.9373,0.9456
1562.35,3.04,2.65,21.87,1.2288,1.0265
2015.06,3.46,2.91,19.22,4.0318,0.9957
2263.65,4.64,2.07,32.31,5.135,1.0062
3022.94,3.04,0.96,5.55,3.5201,0.8013
2602.61,3.01,0.76,20.38,1.6022,1.0008
4600.99,1.2,2.53,9.74,1.6497,1.0413
2509.97,1.14,1.95,6.56,0.2466,1.0084
4961.18,3.2,2.05,14.55,1.9192,1.061
4264.55,2.75,2.45,10.62,4.6785,1.0714
1082.13,4.36,2.26,30.34,0.2986,0.9723
4656.45,1.64,2.59,12.14,1.3779,1.0411
626.01,1.1,0.64,9.79,4.4374,1.0243
4096.38,2.8,2.37,12.33,4.9175,1.0318
1934.09,1.95,2.63,15.68,2.8608,0.9797
4395.97,1.2,1.22,7.52,4.3861,0.9957
4346.88,3.9,2.1,35.1,2.4376,0.9768
4039.33,1.45,1.29,8.66,1.0048,0.9013
3960.65,3.43,2.89,20.26,2.5016,1.0082
1558.16,2.12,0.58,13.62,3.644,0.974
450.55,1.69,1.95,13.33,5.9568,0.98
2044.75,2.52,0.92,24.43,0.432,1.0085
908.95,4.21,2.28,8.94,3.1881,0.7722
3490.01,2.57,0.94,5.02,2.0667,1.1476
1763.19,4,1.09,37.91,3.1938,1.0148
4879.27,1.5,1.74,9.02,0.1506,0.9048
3222.81,4.09,2.79,27.52,1.9668,0.9663
4121.28,1.95,1.03,10.91,5.1514,1.0318
706,3.71,0.86,8.52,3.4805,0.8898
4316.97,3.26,2.4,26.2,2.8311,0.9195
4617.65,4.72,1.75,37.03,1.794,1.0335
2460.96,2.55,2.78,10.58,1.8727,1.0626
3050.95,1.26,0.87,5.19,2.4071,0.9329
3835.81,1.08,2.11,9.28,5.25,1.0371
915.45,4.31,1.08,9.11,6.0772,0.7983
2537.7,3.1,0.89,27.86,2.7562,0.9832
2023.38,4.1,2.21,15.1,2.4715,1.0111
774.55,1.94,1.98,12.67,5.319,1.0172
1869.3,2.38,2.39,22.51,2.6823,0.9952
387.45,1.12,1.27,8.14,3.4684,0.9833
177.77,4.85,1.62,24.34,1.451,1.0368
719.07,3.67,1.51,27.03,4.6716,1.0181
4817.42,4.73,2.96,20.94,3.3426,0.9806
2770.17,2.06,1.23,7.95,5.0833,1.0416
4830.82,3.45,1.24,34.36,4.9055,0.9032
2190.86,3.71,1.39,29.27,1.3509,1.0424
1593.49,2.27,1.91,15.85,4.4965,1.0217
2555.4,4.39,1.13,19.85,5.0269,1.0303
2225.58,4.79,2.79,9.18,2.1747,1.1297
573.04,4.54,1.16,8.01,1.0845,1.0799
3222.09,3.96,2.74,24.57,0.0165,0.8838
1119.39,2.11,0.76,16.83,2.8331,0.9921
3116.96,2.13,2.14,12.9,2.2144,0.9635
3268.5,4.85,2.77,41.97,3.4866,1.006
802.52,1.04,0.92,1.86,1.1815,1.1283
353.68,3.86,2.92,17.84,5.4014,1.0123
3914.77,3.82,1.63,13.45,1.6195,1.061
2326.01,3.49,2.86,18.51,1.4227,0.9905
337.91,4.96,2.19,10.49,3.0204,0.7732
4974.59,2.25,1.25,21.6,3.1344,1.0094
336.01,2.36,0.97,8.02,1.3514,1.0825
3490.42,1.32,1.26,12.29,1.7082,0.9701
4919.21,2.77,0.73,14.19,1.0663,1.0714
1233.94,2.04,0.86,20.19,4.5142,1.0015
754.13,2.37,0.76,14.74,4.8386,1.0279
650.86,4.34,1.56,40.83,2.9049,0.9866
1551.21,4.74,2.49,7.33,4.4867,1.4347
550.18,1.74,0.85,13.7,4.624,1.0208
3476.2,2.49,0.83,22.85,0.8688,0.9594
358.34,4.71,2.11,12.67,6.0707,0.8918
2571.64,1.25,0.99,2.89,5.1587,1.138
4983.65,1.37,0.74,7,1.2848,1.1521
4079.15,1.65,0.92,15.58,1.1697,0.9726
3095.34,3.38,2.81,20.66,0.7896,1.0637
1565.96,1.6,2.55,9.58,0.8695,1.0364
3138.28,4.87,1.39,13.15,4.7008,1.1415
2658.86,2.79,2.14,4.2,2.9509,0.6043
2159.11,3.01,1.84,25.21,4.9193,0.9981
697.02,1.99,2.19,4.46,4.6889,1.2874
4438.69,2.88,2.21,19.86,3.7989,0.9324
2276.43,3.65,2.07,33.83,4.3126,1.0064
1013.38,4,1.17,13.11,0.1153,0.9246
1870.41,4.02,0.6,28.73,1.959,1.0026
2099.94,3.31,1.64,7.18,4.0076,1.0649
4146.31,4.62,2.73,30.62,0.0587,0.9069
3681.39,4.27,1.92,12.35,0.2072,0.9048
3858.06,4.03,2.58,31.24,5.3526,1.0151
104.6,1.22,2.98,4.96,4.2979,1.042
2109.96,1.03,0.91,5.59,1.6674,1.0286
2432.65,1.85,2.23,12.2,4.3226,1.0094
145,3.65,2.19,10.8,4.9792,1.2385
1336.08,2.64,2.95,20.64,1.9276,1.0121
3813.43,2.61,2.96,10.63,0.2264,0.9582
728.69,4.54,2.22,32.36,5.8608,0.9886
2699.79,4.58,1.11,13.04,2.1688,1.0731
1115.25,4.64,2.5,34.08,0.669,1.0034
110,2.26,0.77,5.84,3.0904,0.8462
1243.95,3.76,2.45,19.26,4.8284,1.0561
4880.58,2.09,2.78,7.51,1.3927,1.0931
4017.61,1.76,1.46,13.85,1.6933,1.0681
4799.9,1.74,2.08,6.48,1.525,1.1008
2464.88,2.37,1.58,21.3,6.2309,0.9423
593.19,2.72,1.59,24.7,1.2403,1.0173
2762.4,4.32,1.28,13.71,3.6161,0.9492
2299.17,1.48,2.41,9.94,5.8136,0.9859
4229.57,3.94,2.84,8.85,0.923,1.0724
535.51,3.13,2.85,15.09,6.1001,0.9582
2466.79,2.15,0.94,16.27,5.9532,0.9918
792.74,2.97,2.69,21.11,5.5579,0.9931
1657.15,2.2,2.34,14.98,1.3481,1.0406
3699.92,3.38,1.13,13.2,3.9839,1.0054
2406.29,2.74,0.67,12.89,4.7808,1.0354
1910.65,1.66,1.17,3.94,6.1954,0.8043
2002.66,1.47,2.78,11.16,1.1336,1.0165
2324.26,3.19,2.08,18.43,4.8131,1.0337
3935.83,4.61,2.3,34.69,2.1288,1.0232
4465.82,2.38,1.14,8.59,1.1035,1.0014
4778.91,3.93,2.3,16.74,2.6476,0.8942
3945.17,3.63,0.57,15.78,4.9878,1.0703
1611.26,4.73,1.44,8.12,2.9207,0.7282
3456.27,4.28,2.07,18.84,3.3774,0.9188
2216.14,3.27,0.87,27.2,6.2528,1.0208
1310.62,3.63,2.56,33.11,2.5077,1.0002
4212.31,4.59,1.09,27.12,3.8667,0.9967
240.21,2.6,2.13,13.96,2.2949,1.0039
4513.72,2.31,1.51,4.07,2.4679,0.9168
2334.31,1.04,1.99,9.36,4.3708,1.0327
3204.15,4.31,0.77,6.94,5.8929,0.6498
3313.8,4.2,0.54,40.06,3.4077,0.9647
4480.83,1.42,2.77,8.02,4.828,1.0749
3201.51,3.31,1.17,14.57,0.5605,0.9184
3088.97,2.86,2.55,26.72,1.3267,0.963
379.93,1.47,3,2.52,3.155,0.658
2616.12,4.92,1.03,31.71,0.1257,0.9844
793.34,1.86,1.16,11.46,1.5887,1.0301
3700.3,1.27,2.16,4.27,3.2509,0.9028
2585.5,3.38,2.91,17.39,0.094,1.0283
3417.13,3.96,2.79,27.86,1.6622,1.012
256.28,1.13,1.76,8.68,3.2298,0.9827
469.72,3.63,2.49,5.47,3.6012,0.8422
3595.8,3.13,0.84,29.61,5.8167,0.9978
406.82,1.41,2.94,4.1,4.0548,1.1209
402.72,1.69,2.91,5.89,2.6059,0.9681
109.94,3.27,0.91,12.24,5.8456,0.9541
4784.68,2.19,1.25,3.98,4.9316,1.2475
3700.67,4.75,0.75,12.1,1.2567,1.1401
1798.59,4.27,1.18,42.25,0.8221,1.0114
1517.85,4.93,2.54,20.62,4.2462,1.0352
1781.03,2.04,1.45,5.06,3.5178,0.9062
3884.53,4.88,0.72,11.76,4.9617,1.1246
3323.78,2.72,1.36,20.75,4.642,1.0689
966.72,2.39,2.95,20.95,3.9283,1.0097
911.84,1.2,2.07,4.43,6.1976,0.9152
537.06,1.21,1.54,2.03,3.3526,0.6983
3318.5,3.77,0.92,12.8,0.7107,0.9561
3833.64,2.83,2.97,5.61,5.2042,1.166
1361.98,1.91,2.55,4.53,1.5824,1.114
153.68,3.46,1.2,17.86,4.8839,1.0348
456.75,2.01,0.68,6.95,6.0137,0.9311
4840.91,3.31,0.64,19.48,4.3781,1.0196
1512.45,2.44,0.8,8.91,3.745,0.9798
3857.65,4.29,1.95,40.77,2.8927,0.9492
3142.08,4.28,2.82,39.4,2.2897,1.0203
1940.6,2.91,1.74,18.38,2.218,0.9952
1068.15,2.4,2.61,10.85,3.9984,1.0047
650.86,2.45,1.61,11.61,4.7204,1.0461
3094.31,4.22,2.27,21.12,4.2632,1.0286
3884.44,2.31,2.33,17.77,1.2466,1.0145
3237.33,1.84,0.93,9.8,3.1038,0.9407
2675,1.34,1.4,11.76,4.974,1.0032
257.66,2.87,2.09,27.31,2.9889,0.9895
4844.02,2.93,0.68,12.76,3.3717,0.8865
4003.64,4.36,1.4,27.34,4.8452,1.0061
1499.47,1.88,1.84,4.35,4.1549,1.1326
4900.85,2.52,2.99,8.09,2.572,0.9007
3029.31,4.23,1.69,21.23,5.626,1.0257
2932.99,4.29,2.54,13.97,1.0214,1.0836
3752.96,2.54,1.58,22.72,6.255,0.9408
4068.26,2.84,2.49,8.07,0.7468,1.0513
3299.57,2.21,1.99,11.89,0.0939,0.9613
684.07,4.73,2.72,31.45,5.5922,0.9989
1724.42,1.47,1.53,10.88,1.5391,1.0098
4644.01,4.73,2.01,22.52,4.5848,1.0857
1161.85,3.74,2.08,33.2,5.0958,1.0139
1892.23,3.13,1.54,19.79,5.3972,0.9899
2188.78,1.13,0.86,5.92,6.2304,0.9382
2225.05,2.9,0.73,6.01,1.8475,1.1532
3084.05,2.63,0.54,14.34,4.4626,1.0355
4718.23,1.64,2.68,13.94,0.7251,1.0254
1241.43,3.63,1.09,24.38,2.5561,0.9997
651.43,4.88,1.03,41.88,5.328,1.0038
1027.48,3.25,2.34,18.51,2.3101,0.9914
4440.28,3.86,1.3,9.67,3.714,0.916
3246.76,1.27,1.77,2.06,3.1653,0.6552
1465.24,2.67,0.91,10.89,4.0586,1.0102
4088.94,1.47,2.9,10.89,6.1129,0.9888
4313.78,3.45,2.63,28.36,0.3502,0.9423
4240.25,4.75,2.66,19.08,3.6063,0.9784
4598.69,3.65,1.52,20.84,5.4226,0.984
1298.59,1.31,2.41,6.64,3.0246,0.9759
3787.46,2.42,0.86,12.07,0.4934,1.0077
2329.67,3.2,0.52,11.1,3.522,0.9299
4217.89,2.61,0.55,6.95,2.0865,1.0721
3656.03,4.33,1.97,13.75,0.9735,1.0205
3893.41,4.26,1.64,8.39,5.3346,1.0276
3298,3.45,1.8,10.98,3.2773,0.8771
928.27,2.49,0.52,3.94,5.8639,0.6974
2747.88,2.02,1.56,13.81,5.0644,1.0254
4924.12,1.42,2.3,5.96,4.3541,1.051
4690.07,2.42,1.61,23.64,0.0316,0.9754
263.71,2.65,2.33,8.35,2.6881,0.9436
865.83,3.7,1.08,16.44,1.2408,1.0411
702.06,3.63,2.53,16.5,5.7227,0.9848
3643.6,1.28,1.97,2.01,1.0969,1.1193
4098.04,2.58,1.03,22.28,1.7974,0.8513
1106.88,1.73,1.09,3.06,3.2474,0.6986
2553.97,1.63,2.07,15.45,1.6548,0.9746
4211.48,4.31,2.57,39.14,1.3186,1.0017
3677.37,1.17,1.54,7.07,3.7643,0.9805
2734.07,2.68,1.15,16.38,0.5588,1.032
2972.22,1.67,2.67,11.81,0.3655,0.997
2566.38,4.52,2.17,21.64,2.3389,1.0067
1522.86,3.23,1.62,22.6,4.5281,1.0318
2846.86,1.93,1.72,3.62,3.486,0.8149
3459.98,3.01,1.01,5.9,2.657,0.8614
4372.95,3.93,2.07,21.15,3.5547,1.0238
3199.64,4.83,1.4,29.83,2.2962,0.968
3817.55,1.88,2.99,17.02,5.882,1.0039
842.35,4.54,1.7,10.86,0.345,0.8349
2334.71,4.74,1.71,40.23,4.231,1.0127
96.19,4.67,1.91,15.33,5.6001,0.9855
1271.06,3.54,2.79,17.18,5.051,1.0548
3645.99,3.52,2.5,14.75,1.1564,0.9823
4959.46,2.61,1.63,12.81,1.8594,1.0053
540.93,4.01,2.3,11.14,4.5053,1.2199
2037.4,3.13,1.97,18.06,0.5295,0.9925
4010.35,3.71,1.73,30.84,5.1011,1.0176
1059.98,2.71,0.98,14.26,4.517,1.0235
2797.67,3.93,1.66,22.26,4.5843,1.0136
3678.7,4.3,1.11,37.45,0.6298,1.0418
3099.13,1.59,2.79,11.9,4.5098,1.0148
980.72,4.33,1.34,24.56,4.2714,1.0237
1809.15,3.16,2.88,11.67,5.2208,1.0384
3929.77,4.38,1.83,39.5,0.2614,0.9429
2793.42,2.73,2.08,17.45,0.1452,1.0028
75.89,2.52,1.86,8.5,2.3437,1.0064
3816.9,4.66,0.82,17.65,0.9349,1.1107
224.79,2,1.44,16.69,3.5084,0.9871
3741.38,4.38,0.75,8.21,5.7639,0.8723
1052.28,2.94,2.06,29.16,2.4597,0.9842
4792.46,3.06,1.62,7.97,5.309,1.0706
1871.31,2.23,2.44,18.47,0.0015,1.0036
1668.31,3.29,1.05,15.99,1.0588,0.9881
787,2.3,0.91,13.08,0.1912,0.9697
1562.74,1.16,1.52,10.4,2.0618,0.9981
4389.42,2.09,2.82,10.46,5.7063,0.9537
4981.85,1.03,2.28,6.22,0.6092,1.0101
1873.13,4.91,1.55,9.43,3.8102,1.0086
2270.62,4.86,1.79,7.39,2.8368,0.6848
3624.25,2.58,0.71,9.24,5.8966,0.9532
4436.67,3.91,2.96,28.51,0.7698,1.0047
2985.57,2.38,2.17,6.03,1.3322,1.1319
1988.05,3.68,1.21,9.09,0.1856,0.8207
2092.48,4.22,1.96,21.08,2.7265,0.9966
3493.31,4.79,0.77,33.54,1.7457,1.0295
65.93,2.6,2.91,19.64,5.4658,1.0015
3116.97,4.13,0.94,12.47,3.801,0.9533
1809.69,2.06,2.12,4.49,3.8584,1.0011
3981.28,4.96,1.11,47.1,3.3421,0.9828
510.3,1.1,2.29,4.1,0.5771,0.9651
2961.6,3.41,2.44,29.89,2.7961,0.94
2430.82,3.64,2.18,32.16,6.2801,0.9726
3229.51,3.75,2.04,30.27,5.2479,1.0243
371.03,1.48,2.73,4.35,5.6138,1.0402
2920.92,4.75,0.7,40.34,5.1725,0.9787
2829.35,1.72,1.33,13.86,0.6474,0.9728
2825.27,3.49,1.12,22.94,1.4291,1.0094
3037.26,1.89,2.97,8.26,0.0196,0.9368
3398.52,2.23,1.47,8.32,1.907,1.1307
4034.7,3.19,2.33,8.08,0.6824,1.019
1385.61,2.67,2.21,15.57,2.9706,0.9866
4133.99,1.64,1.03,10.62,4.2545,1.063
2516.37,1.68,1.1,7.67,5.4947,0.9763
431.44,2.67,1.2,14.81,4.7075,1.0273
339.83,4.03,1.53,18.49,5.8973,0.9628
1704.48,4.59,1.09,31.91,0.3387,1.0067
3935.24,1.34,0.55,12.24,0.0765,0.9667
3553.02,2.57,2.7,7.44,4.1553,1.0175
3953.64,1.4,2.91,6.64,1.8181,1.0223
2610.48,1.07,1.35,2.88,1.5928,1.1186
2228.99,3.65,1.35,24.84,2.079,1.0175
779.89,3.41,0.52,26.24,1.6952,1.0183
1674.55,1.65,2.2,15.56,3.2134,0.975
2198.4,1.94,2.56,7.49,2.7655,0.9674
488.57,1.09,0.87,10.48,3.2197,0.9861
1142.03,4.34,0.9,8.84,4.2268,1.2002
3011.22,4.9,2.48,32.46,2.4324,1.0175
3691.53,1.54,2.04,3.06,1.579,1.2252
4991.82,1.93,0.61,17.52,1.0443,0.9776
4668.91,4.47,2.06,26.86,2.1958,1.0367
3230.7,4.71,1.27,33.83,4.6609,0.9915
2135.18,2.68,1.42,22.95,4.7545,1.0054
3199.08,1.2,2.42,3.34,4.1903,1.0945
3938.98,1.16,2.53,2.12,1.4704,1.3619
635.76,3.3,1.5,29.56,3.6951,0.9984
2079.03,2.57,2.87,10.74,3.5857,0.9747
4207.02,1.11,1.52,2.89,3.0427,0.8772
1949.97,3.33,2.43,18.27,3.4556,0.9523
2880.77,1.05,1.71,6.88,3.09,0.9804
2959.46,4.15,2.74,7.32,3.5529,0.8176
963.16,2.23,2.77,8.54,4.4957,1.0651
1843.07,1.16,0.72,2.07,0.6888,0.9093
1705.83,3.35,2.84,17.01,4.71,1.0453
179.67,2.59,2.56,23.6,0.8538,1.0012
169.75,4.9,2.48,48.23,0.4186,0.9932
4166.9,3.18,1,21.97,6.1329,0.9289
1401.7,2.1,2.51,6.04,6.013,0.9025
2614.49,3.84,2.63,35.31,0.3797,1.0278
1528.69,2.09,1.22,12.28,2.785,0.9832
4706.36,4.62,2.88,12.96,1.1702,1.0896
1333.52,2.5,0.62,23.33,3.0495,1.014
2176.8,3.2,0.87,25.4,5.2162,0.9789
4370.01,1.2,1.84,9.28,5.9729,0.9379
4217.57,2.7,1.94,20.36,3.9851,1.0744
971.2,4.33,2.11,13.87,2.2237,1.0303
4023.08,4.22,0.54,13.91,3.7908,0.9695
2318.03,1.9,2.9,13.95,1.9604,0.9855
2440.7,1.9,0.61,6.41,5.7166,0.9769
710.73,4.27,0.86,22.32,5.4689,1.0066
448.98,4.72,0.54,38.47,3.5075,0.9839
3653.3,1.38,1.92,11.28,2.0408,1.0038
2507.48,2.8,2.83,14.99,1.8434,1.0216
2212.41,2.35,2.16,19.35,0.21,0.9922
3661.07,4.48,2.56,38.68,5.126,0.9682
3839.29,1.33,0.53,9.43,2.8298,1.0319
836.6,1.84,1.86,6.35,2.0429,1.0594
3070.61,4.01,1.65,15.35,2.9601,0.9254
720,1.21,1.75,5.03,5.1443,1.0366
3769.31,2.97,0.68,7.4,0.783,1.002
3301.93,2.77,2.21,10.58,5.3888,0.9913
4785.24,2.34,1.76,7.67,5.6392,0.9569
391.34,2.58,2.41,13.85,5.9483,0.972
332.42,3.12,1.71,28.77,2.4975,1.0021
1446.83,1.65,0.87,3.93,1.3643,1.1348
